"vowel","mfcc1","mfcc2","mfcc3","mfcc4","mfcc5","mfcc6","mfcc7","mfcc8","mfcc9","mfcc10","mfcc11","mfcc12","mfcc13"
"a",-52.5391374300891,-1.28532887475728,-7.75008991301724,-3.05108580570494,-3.08245625198255,-2.63883280552425,-4.37500411051171,-1.99916216837187,-0.0603489762160471,1.39748300679361,0.944824551226388,-1.82472607760897,-2.62283111970478
"a",-75.7003080039333,8.52845360567123,-7.26391185468318,-2.07783126097911,-0.488501748593759,-3.11929974838307,-6.81399397972973,-4.0238602296531,-0.917041192299931,2.3144436076112,1.94059410653423,-0.418292878071682,-0.211809362162966
"a",-83.2200252908373,1.78518995314461,-9.08458783308254,2.88046529450118,-4.9278617714011,-0.759263234481123,-5.16151633929998,-1.87944751314805,-5.10057049778847,1.27846092886395,0.787753826820863,1.04735287328041,1.36500360327854
"a",-78.6143721805218,2.24474717955691,-2.22549954632921,-4.13966875866092,-2.11853539101847,-1.93499529301216,-2.11976620339042,-2.61037489275807,-0.922124121329233,1.13016250953124,-0.201368708936928,-1.09488576902013,-1.64080590015472
"a",-51.3681856713919,-3.58422071879936,-12.3065372241677,-0.96323098433995,-4.15855468727349,-3.03248686108358,-2.85313516320118,2.03681588809577,-2.3779404441173,1.6192147773287,-0.505580567988282,0.018423512807812,-3.85795923545811
"a",-52.3282085470005,-7.26620555726561,-5.51366139517324,-5.56793076971935,-1.85120491293051,-2.40530149009351,-0.912449238355029,-0.803328666720087,0.0562676315628876,0.817133438558154,0.803568910084829,0.669679512466838,-0.94312407672533
"a",-62.7188828098045,-4.0253383243903,-0.88236481107799,-0.765640357461589,-0.0180283877483366,-1.22990719639681,-0.671180052008188,-2.82110865226748,-2.3305939859663,1.18671871683173,-0.392006850605398,-1.74726364556451,-2.00353209498734
"a",-75.274303655434,-1.00433527906823,-4.5904319023595,-2.97650817402308,-0.216334839352709,-2.25041596117043,-2.73582021862692,-1.802245731252,1.57432177194436,2.69225015247414,-0.100419290783015,-0.829468944351624,-0.751558055208632
"a",-71.7479066991341,3.42638048377504,-12.4536729206301,-6.2440836614516,-0.783904127379377,-6.32405310028126,-4.41868321956069,2.99656732523305,-4.78897561950611,1.92246246180884,-3.22264791646234,-0.954045161499862,-4.43920764738375
"a",-69.020801066125,-5.62794356514186,-12.0390728049322,-3.91186920834945,-6.17955756895757,-1.05038264213994,-0.248195885336845,-2.00139854483217,-0.169777727958964,0.939439635040318,0.497467304831106,-2.3245201643005,-3.28779179471177
"a",-40.918474681109,-0.755820180802537,-5.41014058498203,-9.91355495349496,-4.15202668444238,-2.98761662994094,-0.485464936268498,1.57409713311073,-1.81902378244245,0.878441043774514,-1.27134476224269,-1.01278611194925,-2.1201134604748
"a",-69.5656303962008,1.81896163270843,-6.73430827309831,-0.615860033285233,-0.274763085895511,-6.30879433794747,-2.2048959109766,0.346571498196712,-2.11335263658262,0.53067965913892,0.722589101704242,-1.14756803704207,-1.62857081341164
"a",-60.535468216041,1.95478515191797,-6.49341018279806,-8.4158602400766,-2.56486876471205,-1.96642888355132,0.158532172700124,0.853404041767523,0.773655625239789,3.71777891121345,-2.89291091223895,-0.0547004677779703,-2.72685571587533
"a",-71.3414413372823,-4.05811304650266,-0.90315327932628,-2.92722395643683,-4.31867594172389,-1.25970362038889,-2.9359854420308,-1.2302764444711,-0.304951308982586,1.13017701158999,0.886746450194483,-0.0143743017486701,-0.651805513673618
"a",-74.5835952286525,-9.12987107390935,-1.22789082211638,-2.13204421475545,0.917872542527639,2.59900336355993,-1.43308090549149,-0.422338954965826,1.16329379170493,1.46186881876131,-0.0854439638209217,0.821021995125452,-0.201391378685089
"a",-72.8175162356502,-5.36307036455457,-1.47852293880448,0.691819102590447,1.31739530885214,-3.37184662115094,-3.90259437919292,-1.37525274858389,-3.26630554886576,1.3733113798972,0.453734775982256,-1.92079698423594,1.06202406640126
"a",-84.6890335537416,-0.168261493691605,-6.69354641378643,0.639233153558891,-3.26323971245607,-0.421789292849027,-4.93073826476168,-3.36550849613568,-4.02908816746831,3.36554266678176,-0.855773178554977,1.55258582672589,0.856280623439372
"a",-64.2070415637745,9.10236927329694,-11.6568132585466,-5.77557583418113,-3.23805358091334,-2.2752733015893,-4.09397678955597,-2.57229153325501,-1.00787848918032,1.28667381116149,0.349548697309043,-2.44678557920202,-0.938126097318588
"a",-54.3737885021367,-5.27747630820963,1.48585320917731,-4.20501676110387,-1.84268824901712,-1.98197453429874,-6.00206249449684,2.00163150181145,-3.33501113739251,2.70545173809456,-2.6186425895501,0.474569137664691,-3.02997794318082
"a",-73.0908212912667,1.80026712172254,-11.3361218397157,-0.111442208409107,-0.939106758228454,-2.12007885193959,-7.5166888790596,-1.80833865712773,-4.11399357891556,3.00019341659312,1.84207112106084,-1.04189855768938,-0.00376842388105663
"a",-71.1527087662815,5.18394168564808,-9.02875209099514,-9.85083839952674,-2.74633851763074,-3.53219916451272,-1.85645489414912,0.795372904776534,-1.39166166484284,1.1654821788014,-0.83570164673414,-0.985512868756051,-1.52590904795044
"a",-85.576843762577,2.47319272185945,-3.77479046871745,-3.13590657626546,-2.43932533459549,-2.00310571279085,-4.63078264566648,-1.93950451782447,0.349039387079882,1.67414712215875,2.47021437955216,-0.262900155804123,-2.04695936617248
"a",-82.1321584412729,-0.60817997176542,0.939718979140221,0.0382682081107648,-1.20749529044174,-5.01745628208274,-3.50369556320848,-2.22894877708525,-1.06358890451045,0.401437958807335,0.565973211876215,-0.402359795686691,-0.912016594553387
"a",-64.8106802737362,-9.32271557480768,-3.34881563278235,-4.33950771702631,-5.35025919733505,-0.969017832509439,-0.660497796438358,2.47938169424576,-1.51908903401498,4.07757114651034,0.0165319117702523,-0.103561372938462,-0.567982935581836
"a",-68.2141056649427,2.99302247584844,-5.13675414197292,-2.74054030931004,-4.99479739278606,-3.73568701672835,6.76135234697954,1.18262752305115,-3.02625214497284,0.632920126211124,-0.433309272007874,0.848639865591422,-0.907772708539832
"a",-55.732556145717,-1.13788671195042,-8.3975322285776,-0.811271426894182,-0.212050428790144,-3.39778889402916,-5.99595009915346,1.73732188452497,-0.721075348073526,0.818772764167162,-0.32025714489103,-2.24893663265088,-1.49642391792597
"a",-78.1340424215057,0.209435275136054,-0.774025011353023,-0.781635522657269,-0.000421459914079566,-3.14922357595913,-3.96174552734248,-3.94567211300897,-2.55714262559425,-0.564506433087618,-0.238282550887825,-0.913572884369863,-1.26977184894978
"a",-87.0017409335242,7.7064558345184,-7.61952889264681,-2.46379971280083,0.760770521152461,-4.66402743469577,-7.12638498226839,-2.65308351701672,-3.00241547251946,2.82662682111607,-0.665357288254439,-0.25608093609724,0.0403551799405797
"a",-72.8331032134974,-2.28379073120601,-1.93957950197959,-2.01419253694275,-3.84286149544625,-2.00429958564055,-1.26479551062743,-2.0671980378736,-0.680460148862857,2.54273628963726,-0.291892272046237,-2.63342600191828,-2.60809688397433
"a",-49.8061575352637,4.41707278262855,-3.78011862544145,-7.04626026354769,-2.00982105950867,-0.733945592921035,-6.1180046739171,-3.09581956887832,1.2018088802866,2.01639247583396,1.33834869174315,1.11047280908128,-1.73780484354396
"a",-79.1673435514707,0.671371154635909,-0.396953871395979,-3.74541366627716,-1.97126430468074,-0.639128415350496,-3.13304580619011,1.54158990983681,-0.903445238684424,2.50143266837209,-0.963633509183279,1.23321425550104,-1.42995468018659
"a",-83.8606679572146,-9.35553756889177,-2.06868006895367,-0.605705617813742,-0.478555325454584,0.997722240320939,-0.979433617431532,1.33557698993119,1.15788522204755,2.7601493715022,0.562020540194836,0.933401141210273,-0.387522509533349
"a",-75.6458937967388,0.603132426959598,-2.20040522962469,-3.26287192393024,-3.78543137640849,-0.820942924150209,-2.5189817207773,-1.28956132179466,-1.00024570456916,0.577749561636347,0.851785846090203,0.488176398401111,-0.565340526868995
"a",-70.6204252374741,2.76078627488482,-10.7877244101088,-2.55146453092191,-3.89223558804585,-1.66384423762952,-5.42076177931957,1.21397765744651,-2.96328531798479,1.99926058548893,-0.448425544720801,1.78186240235061,-0.174011818430906
"a",-72.9599603974986,-8.42920640429494,-10.7132299005008,3.00383716453652,-4.36550312681275,-5.6566494820598,-0.521579257082166,-0.126226958125732,2.22265830992997,-0.831797484704616,-2.50772033896048,-0.53040233894201,-2.27966358252219
"a",-70.0935553225174,0.497279515295858,-9.65150395450477,-6.39658386872907,-4.41462369026374,-1.67099230690368,-1.53452433473744,-1.35614730339878,0.545198440149536,1.03589295095808,-0.27759958742218,-0.0564671215297715,-0.902573595935221
"a",-56.3533069895091,2.77174335486012,-5.9099850399038,3.53668105980134,1.25070624769764,-3.64745025907476,-5.96113762071619,-2.93840285182156,-3.89109028552719,3.31934919835452,-1.18650066418611,-0.909155401958335,-1.54385033199289
"a",-56.1841469375686,-4.41426056294461,-14.3731620143082,-0.349040939618593,-0.323498073355489,-4.29780473108201,0.225106718574999,0.939709503414575,-0.339653331903023,-1.72541619289135,-2.67254651131695,-4.15984384805238,-0.798304479517456
"a",-80.0551392329156,1.86471128942776,-8.86970962662903,-2.53627007116076,-4.87953777955231,-1.85663770843595,-0.934933353482971,0.716785261157439,-1.49504334462108,2.74144949159848,-1.97712165342264,1.3106821383653,-1.53903694710017
"a",-46.2181852917595,-4.4304766475737,-1.87587820098792,-0.244112885412843,-3.66123582947918,-0.237138046656271,-5.86889589663249,-0.712867340981515,-4.79901258122642,0.174657844030526,4.02726922366169,-0.203382682412582,-1.88893738525123
"a",-69.8314874006017,-0.953470942337004,-6.73158544404369,-3.12883287274821,-2.33381352611308,-1.01785572267685,-3.20024803375834,-0.327147916149126,-2.19679904489317,0.168167046683624,4.00852577266696,-1.5989518907048,-1.83064373597525
"a",-72.6865695741608,-6.02896481843654,-0.0654423785771335,-5.10335829938334,-0.985356075483895,0.496840420398466,-0.573268840322861,0.865352253502703,-0.222006093159038,1.42380369813199,-0.420159098636205,0.509853215503457,-0.31832488848915
"a",-53.8645430022609,-0.60420000775463,-6.04667490451289,-1.42781177105298,-2.06289355143758,-5.6592308305699,-4.52781205978265,-3.719240506542,0.932154001575787,2.5474619945852,-0.828738944166362,0.147667168523073,-0.734417042841703
