domain,contrast,feature_space,n_label,jsd_point,jsd_bootstrap_mean,jsd_interval_low,jsd_interval_high,n_boot,source,limitation_note,label
Stop voicing,/b/ ~ /p/,VOT (1D),n=362+350,0.0155514539999302,0.0190272048897957,0.00375044141984214,0.0346150773330643,20,Empirical SBCSAE classical consonant analysis; automatic alignment/features,Exploratory: automatic segment boundaries and feature extraction require follow-up validation.,0.02
Stop voicing,/d/ ~ /t/,VOT (1D),n=700+700,0.0199807423413181,0.0224439192762663,0.011302514425583,0.0311655351640641,20,Empirical SBCSAE classical consonant analysis; automatic alignment/features,Exploratory: automatic segment boundaries and feature extraction require follow-up validation.,0.02
Stop voicing,/g/ ~ /k/,VOT (1D),n=262+351,0.0286131560590612,0.0342946731093123,0.0187329357075918,0.0539879951370857,20,Empirical SBCSAE classical consonant analysis; automatic alignment/features,Exploratory: automatic segment boundaries and feature extraction require follow-up validation.,0.03
Fricative place,/s/ ~ /sh/,Spectral cues (8D),n=700+454,0.987977927376694,0.9967588680485,0.993889749450322,0.998979387801508,20,Empirical SBCSAE classical consonant analysis; automatic alignment/features,Exploratory: automatic segment boundaries and feature extraction require follow-up validation.,1.00
Fricative place,/f/ ~ /th/,Spectral cues (8D),n=700+358,0.927039162107901,0.980073861783965,0.970275779811132,0.988761139218779,20,Empirical SBCSAE classical consonant analysis; automatic alignment/features,Exploratory: automatic segment boundaries and feature extraction require follow-up validation.,0.98
