"method_1","method_2","n","pearson","spearman","mean_abs_diff"
"kde","histogram_equal_width",6,0.95447351097009,0.942857142857143,0.224838317246369
"kde","empirical_quantile_binned",6,0.994513214752232,0.885714285714286,0.0840493480829708
"kde","gaussian_mixture",6,0.901622000954229,0.828571428571429,0.282843113338216
"histogram_equal_width","empirical_quantile_binned",6,0.977788906929053,0.771428571428571,0.142590424972831
"histogram_equal_width","gaussian_mixture",6,0.989347677564126,0.942857142857143,0.0773979338775877
"empirical_quantile_binned","gaussian_mixture",6,0.938356130300816,0.714285714285714,0.215986782267264
