overlap_estimator,metric,n_pairs,pearson_r,abs_pearson_r,abs_pearson_boot_low,abs_pearson_boot_high,spearman_rho,abs_spearman_rho
KDE density overlap (13D),JSD,351,-0.9511654884611759,0.9511654884611759,0.9406878769799663,0.9603755023776752,-0.9624234099234099,0.9624234099234099
KDE density overlap (13D),Pillai,351,-0.8108912977996308,0.8108912977996308,0.7747856269809171,0.849745344660862,-0.8980150405150404,0.8980150405150404
KDE density overlap (13D),Bhattacharyya distance,351,-0.6940942698192377,0.6940942698192377,0.6560607430235715,0.7420739588340561,-0.8479689754689754,0.8479689754689754
KDE density overlap (13D),Bhattacharyya affinity,351,0.7354318023630781,0.7354318023630781,0.6919677813955591,0.7837216577230697,0.8479689754689754,0.8479689754689754
kNN density overlap k=10 (13D),JSD,351,-0.8628099662306836,0.8628099662306836,0.8339169429813387,0.8890290256065777,-0.9084609834609834,0.9084609834609834
kNN density overlap k=10 (13D),Pillai,351,-0.9246943353315257,0.9246943353315257,0.9083238464402019,0.9395881954497355,-0.9396312021312022,0.9396312021312022
kNN density overlap k=10 (13D),Bhattacharyya distance,351,-0.8316080603709702,0.8316080603709702,0.8065142083200018,0.8543159127123348,-0.9089241314241312,0.9089241314241312
kNN density overlap k=10 (13D),Bhattacharyya affinity,351,0.8853569926714032,0.8853569926714032,0.8600116904175621,0.9070463623826567,0.9089241314241312,0.9089241314241312
kNN density overlap k=25 (13D),JSD,351,-0.8644724860955808,0.8644724860955808,0.8380450549242666,0.8893922025743703,-0.9012559662559662,0.9012559662559662
kNN density overlap k=25 (13D),Pillai,351,-0.950721275352576,0.950721275352576,0.9392849617696596,0.9608325318464788,-0.953552281052281,0.953552281052281
kNN density overlap k=25 (13D),Bhattacharyya distance,351,-0.8759946858342053,0.8759946858342053,0.8583926696542579,0.8925081190393709,-0.9380255855255855,0.9380255855255855
kNN density overlap k=25 (13D),Bhattacharyya affinity,351,0.9278803629521205,0.9278803629521205,0.911852657610393,0.9416276123043023,0.9380255855255855,0.9380255855255855
kNN density overlap k=50 (13D),JSD,351,-0.8608494004155605,0.8608494004155605,0.8351870912762832,0.8838831865998875,-0.896623099123099,0.896623099123099
kNN density overlap k=50 (13D),Pillai,351,-0.9633994522793212,0.9633994522793212,0.9544396086445043,0.9709319011360614,-0.9639219114219115,0.9639219114219115
kNN density overlap k=50 (13D),Bhattacharyya distance,351,-0.8980147480418202,0.8980147480418202,0.8850254017348133,0.9114854367215339,-0.9523773448773448,0.9523773448773448
kNN density overlap k=50 (13D),Bhattacharyya affinity,351,0.9460592257188656,0.9460592257188656,0.9342711674614095,0.9559425946366369,0.9523773448773448,0.9523773448773448
MVN Monte Carlo overlap (13D),JSD,351,-0.792865874795911,0.792865874795911,0.7551394881479656,0.8316044896235555,-0.848516206016206,0.848516206016206
MVN Monte Carlo overlap (13D),Pillai,351,-0.9605092826538321,0.9605092826538321,0.9483682136065145,0.9704694939233608,-0.9648984348984349,0.9648984348984349
MVN Monte Carlo overlap (13D),Bhattacharyya distance,351,-0.9295002461231029,0.9295002461231029,0.9210238815570049,0.9387465251118744,-0.9983422133422133,0.9983422133422133
MVN Monte Carlo overlap (13D),Bhattacharyya affinity,351,0.9876346067496445,0.9876346067496445,0.9860990313419121,0.989153446046039,0.9983422133422133,0.9983422133422133
PCA-2D grid overlap,JSD,351,-0.8347287712041245,0.8347287712041245,0.800846400256357,0.867866539817918,-0.8708789768321158,0.8708789768321158
PCA-2D grid overlap,Pillai,351,-0.9368064631320687,0.9368064631320687,0.9211163057524838,0.9502494651115309,-0.9391166803317332,0.9391166803317332
PCA-2D grid overlap,Bhattacharyya distance,351,-0.9143312361703936,0.9143312361703936,0.9004829803917254,0.9268522908686474,-0.9487649036887811,0.9487649036887811
PCA-2D grid overlap,Bhattacharyya affinity,351,0.9415342694398051,0.9415342694398051,0.9272082380318071,0.953867119689833,0.9487649036887811,0.9487649036887811
PCA-2D convex hull support,JSD,351,-0.6721270075774328,0.6721270075774328,0.6188102769456428,0.7226640919138333,-0.7350646575646576,0.7350646575646576
PCA-2D convex hull support,Pillai,351,-0.7979127159373234,0.7979127159373234,0.7620713495233247,0.8304919317140295,-0.8146733821733823,0.8146733821733823
PCA-2D convex hull support,Bhattacharyya distance,351,-0.8071658113628748,0.8071658113628748,0.7680942784002447,0.8404092215848638,-0.8077372627372627,0.8077372627372627
PCA-2D convex hull support,Bhattacharyya affinity,351,0.8006549897771721,0.8006549897771721,0.7659335383884046,0.8325221075736866,0.8077372627372627,0.8077372627372627
